SITE_NO,POINT_X,POINT_Y
976,145.156407,-37.962919
436,145.152342,-37.951945
450,145.163753,-37.903825
620,145.194728,-38.072144
629,145.289804,-37.799703
634,145.272628,-37.800823
910,145.230297,-37.804538
932,145.136807,-37.960525
941,145.138333,-37.951828
944,145.141983,-37.99058
1006,144.919669,-37.766578
2101,144.979346,-37.793121
2153,144.963005,-37.71869
2157,144.958231,-37.689554
3833,144.927757,-37.774397
3834,144.915223,-37.756827
3835,144.9298,-37.777611
3840,145.026036,-37.851098
3841,145.032212,-37.840015
3842,145.028552,-37.861096
3843,145.023657,-37.855888
3844,145.038785,-37.870986
3845,145.05106,-37.860791
3846,145.049086,-37.871225
5289,144.663921,-37.899493
3964,144.940562,-37.687762
2946,145.04212,-37.750011
2957,145.088739,-37.898581
3064,145.021789,-37.747241
3110,144.945319,-37.775275
3111,144.948794,-37.775692
3194,145.135136,-37.83692
3203,145.110629,-37.966321
3250,144.727063,-37.578008
3308,145.025038,-37.781876
3309,145.032269,-37.780555
3310,145.039101,-37.775308
3312,145.046734,-37.771794
3313,145.059665,-37.77286
2678,144.800539,-37.744164
3499,144.856317,-37.83207
3500,144.849472,-37.819461
3501,144.848252,-37.831225
3502,144.847016,-37.838486
3503,144.846407,-37.842082
3510,144.924843,-37.767159
3511,144.923681,-37.764462
3512,144.920941,-37.760028
3514,144.917782,-37.755012
3515,144.91447,-37.750313
3516,144.906609,-37.738597
3557,145.041649,-37.904153
3558,145.043917,-37.90444
3559,145.053924,-37.905706
3560,145.061755,-37.90667
3561,145.074167,-37.90814
3563,145.077619,-37.90856
3565,145.098251,-37.911028
3566,145.109613,-37.91251
3592,144.925256,-37.750858
3594,144.923916,-37.730014
3595,144.92389,-37.728605
3736,145.059063,-37.697883
3746,145.025685,-37.725027
3924,145.111686,-37.835821
4035,145.059356,-37.817373
4038,145.057319,-37.828113
4078,145.007174,-37.878052
4120,144.95175,-37.736272
4229,144.885429,-37.813047
4237,144.903248,-37.800185
536,145.153698,-37.904163
4241,144.888793,-37.795201
4306,145.046109,-37.765692
4357,145.029287,-37.85662
4365,145.028341,-37.862374
4369,145.052724,-37.853431
4372,144.946706,-37.819002
2578,144.88548,-37.775721
2521,144.891352,-37.806622
2577,144.790296,-37.791772
2568,145.021858,-37.636962
1157,144.62586,-37.886327
6214,144.979861,-37.406699
1340,145.318702,-37.786455
6017,145.976575,-36.555005
223,145.123194,-38.076361
225,145.125002,-38.088422
226,145.125599,-38.094072
227,145.125885,-38.103451
228,145.125755,-38.109843
229,145.124938,-38.120695
230,145.12241,-38.140215
232,145.120705,-38.144232
171,145.237363,-37.864938
172,145.237611,-37.869812
4684,145.007908,-37.779036
176,145.277528,-37.882749
178,145.243956,-37.871869
179,145.294684,-37.888744
180,145.241289,-37.87102
181,145.304357,-37.892385
183,145.44073,-37.932081
184,145.445057,-37.928853
185,145.15674,-37.933148
186,145.160251,-37.936148
6308,143.3334,-35.338572
187,145.110314,-38.017085
188,145.172681,-37.947572
189,145.179479,-37.95362
191,145.19519,-37.967645
192,145.203784,-37.975412
4045,145.068546,-37.847338
4046,145.077237,-37.848292
4048,145.081993,-37.848831
1062,144.960079,-37.792206
136,145.275333,-37.786679
138,145.295238,-37.77143
139,145.28214,-37.827894
140,145.31317,-37.75887
141,145.31589,-37.758434
142,145.334317,-37.761067
143,145.34733,-37.756955
144,145.351739,-37.75751
145,145.354837,-37.757487
146,145.33702,-37.8121
147,145.373844,-37.749917
148,145.311008,-37.785043
149,145.354494,-37.758866
150,145.515948,-37.65416
151,145.313452,-37.773788
4044,145.062721,-37.846683
3962,145.017047,-37.913414
888,145.239001,-37.809894
3607,144.917234,-37.754518
6084,145.41558,-36.376735
267,145.224853,-37.962745
268,145.195486,-37.923128
269,145.196288,-37.991373
273,145.14042,-38.119032
274,145.123274,-38.138686
275,145.13301,-38.129097
276,145.162331,-38.154168
277,145.121512,-38.142028
278,145.10167,-38.166685
3891,144.953975,-37.754245
3892,144.963131,-37.733784
3893,144.966125,-37.744
3900,144.847478,-37.835826
3902,144.855139,-37.831942
3905,144.829084,-37.827369
2440,144.977257,-37.847488
743,145.134655,-38.15754
4239,144.896131,-37.803817
209,145.345586,-38.029838
3386,144.991084,-37.811257
3387,144.983705,-37.853504
3388,144.99052,-37.814458
3389,144.990367,-37.815331
3803,145.083093,-37.831378
3804,145.063684,-37.832155
3805,145.072083,-37.833138
3806,145.07729,-37.833745
3807,145.081366,-37.834209
3808,145.085044,-37.834457
3809,145.092849,-37.835364
3810,145.058162,-37.832576
3811,145.060764,-37.834796
3812,145.062164,-37.836007
3813,145.069173,-37.842265
3814,145.066174,-37.860095
3816,145.077892,-37.863206
3817,145.080213,-37.863488
3818,145.082939,-37.86382
3819,145.075683,-37.812163
3820,145.065853,-37.861794
3821,145.05773,-37.825958
3739,145.027533,-37.724363
3740,145.008073,-37.714378
