,SITE_NO,POINT_X,POINT_Y,X,Y,BBox,Uber_id
0,976,145.156407,-37.962919,338049.12693901046,5796696.07420774,"POLYGON ((338149.1269390105 5796596.07420774, 338149.1269390105 5796796.07420774, 337949.1269390105 5796796.07420774, 337949.1269390105 5796596.07420774, 338149.1269390105 5796596.07420774))","['2023', '2032']"
1,436,145.152342,-37.951945,337667.8437119813,5797906.730107185,"POLYGON ((337767.8437119813 5797806.730107185, 337767.8437119813 5798006.730107185, 337567.8437119813 5798006.730107185, 337567.8437119813 5797806.730107185, 337767.8437119813 5797806.730107185))","['2016', '2017', '2022']"
2,450,145.163753,-37.903825,338565.2568850693,5803266.185250668,"POLYGON ((338665.2568850693 5803166.185250668, 338665.2568850693 5803366.185250668, 338465.2568850693 5803366.185250668, 338465.2568850693 5803166.185250668, 338665.2568850693 5803166.185250668))","['2054', '2106']"
3,620,145.194728,-38.072144,341651.00260064646,5784641.797899635,"POLYGON ((341751.0026006465 5784541.797899635, 341751.0026006465 5784741.797899635, 341551.0026006465 5784741.797899635, 341551.0026006465 5784541.797899635, 341751.0026006465 5784541.797899635))","['1813', '2307']"
4,629,145.289804,-37.799703,349436.275604273,5815030.510935519,"POLYGON ((349536.275604273 5814930.510935519, 349536.275604273 5815130.510935519, 349336.275604273 5815130.510935519, 349336.275604273 5814930.510935519, 349536.275604273 5814930.510935519))","['1406', '1709', '1755', '1760']"
5,634,145.272628,-37.800823,347926.3025915753,5814878.421444439,"POLYGON ((348026.3025915753 5814778.421444439, 348026.3025915753 5814978.421444439, 347826.3025915753 5814978.421444439, 347826.3025915753 5814778.421444439, 348026.3025915753 5814778.421444439))","['136', '725', '1673']"
6,910,145.230297,-37.804538,344207.09538436355,5814396.4637859445,"POLYGON ((344307.0953843636 5814296.463785945, 344307.0953843636 5814496.463785945, 344107.0953843636 5814496.463785945, 344107.0953843636 5814296.463785945, 344307.0953843636 5814296.463785945))","['139', '1762', '1775']"
7,932,145.136807,-37.960525,336321.8961060697,5796927.450155329,"POLYGON ((336421.8961060697 5796827.450155329, 336421.8961060697 5797027.450155329, 336221.8961060697 5797027.450155329, 336221.8961060697 5796827.450155329, 336421.8961060697 5796827.450155329))","['1967', '2015', '2028']"
8,941,145.13833300000002,-37.951828000000006,336436.6706498363,5797895.19998831,"POLYGON ((336536.6706498363 5797795.19998831, 336536.6706498363 5797995.19998831, 336336.6706498363 5797995.19998831, 336336.6706498363 5797795.19998831, 336536.6706498363 5797795.19998831))","['1967', '2016']"
9,944,145.141983,-37.99058,336843.2094522319,5793601.456240997,"POLYGON ((336943.2094522319 5793501.456240997, 336943.2094522319 5793701.456240997, 336743.2094522319 5793701.456240997, 336743.2094522319 5793501.456240997, 336943.2094522319 5793501.456240997))","['295', '1992']"
10,1006,144.919669,-37.766578,316764.92780107335,5818045.307271063,"POLYGON ((316864.9278010734 5817945.307271063, 316864.9278010734 5818145.307271063, 316664.9278010734 5818145.307271063, 316664.9278010734 5817945.307271063, 316864.9278010734 5817945.307271063))","['744', '950']"
11,2101,144.979346,-37.793121,322085.484541058,5815215.226459281,"POLYGON ((322185.484541058 5815115.226459281, 322185.484541058 5815315.226459281, 321985.484541058 5815315.226459281, 321985.484541058 5815115.226459281, 322185.484541058 5815115.226459281))","['70', '72', '1056', '1061']"
12,2153,144.963005,-37.71869,320466.6719367206,5823443.238027386,"POLYGON ((320566.6719367206 5823343.238027386, 320566.6719367206 5823543.238027386, 320366.6719367206 5823543.238027386, 320366.6719367206 5823343.238027386, 320566.6719367206 5823343.238027386))","['1582', '1591', '1606', '1612']"
13,2157,144.958231,-37.689554,319975.37192705297,5826667.129612711,"POLYGON ((320075.371927053 5826567.129612711, 320075.371927053 5826767.129612711, 319875.371927053 5826767.129612711, 319875.371927053 5826567.129612711, 320075.371927053 5826567.129612711))","['1594', '1633', '1640']"
14,3833,144.927757,-37.774397,317496.6244265833,5817193.483232737,"POLYGON ((317596.6244265833 5817093.483232737, 317596.6244265833 5817293.483232737, 317396.6244265833 5817293.483232737, 317396.6244265833 5817093.483232737, 317596.6244265833 5817093.483232737))","['90', '933']"
15,3834,144.915223,-37.756827,316349.16092354606,5819118.615579294,"POLYGON ((316449.1609235461 5819018.615579294, 316449.1609235461 5819218.615579294, 316249.1609235461 5819218.615579294, 316249.1609235461 5819018.615579294, 316449.1609235461 5819018.615579294))","['862', '937', '940', '951']"
16,3835,144.9298,-37.777611,317684.4693497111,5816840.824665161,"POLYGON ((317784.4693497111 5816740.824665161, 317784.4693497111 5816940.824665161, 317584.4693497111 5816940.824665161, 317584.4693497111 5816740.824665161, 317784.4693497111 5816740.824665161))","['90', '933', '948']"
17,3840,145.026036,-37.851098,326332.8284977008,5808869.661729575,"POLYGON ((326432.8284977008 5808769.661729575, 326432.8284977008 5808969.661729575, 326232.8284977008 5808969.661729575, 326232.8284977008 5808769.661729575, 326432.8284977008 5808769.661729575))","['698', '1031']"
18,3841,145.03221200000002,-37.840015,326850.3148722454,5810110.966669521,"POLYGON ((326950.3148722454 5810010.966669521, 326950.3148722454 5810210.966669521, 326750.3148722454 5810210.966669521, 326750.3148722454 5810010.966669521, 326950.3148722454 5810010.966669521))","['1048', '1391']"
19,3842,145.028552,-37.861096,326577.6409863343,5807764.9052543845,"POLYGON ((326677.6409863343 5807664.905254385, 326677.6409863343 5807864.905254385, 326477.6409863343 5807864.905254385, 326477.6409863343 5807664.905254385, 326677.6409863343 5807664.905254385))","['1030', '1386']"
20,3843,145.02365700000001,-37.855888,326134.7612619466,5808333.706162786,"POLYGON ((326234.7612619466 5808233.706162786, 326234.7612619466 5808433.706162786, 326034.7612619466 5808433.706162786, 326034.7612619466 5808233.706162786, 326234.7612619466 5808233.706162786))","['1030', '1031']"
21,3844,145.03878500000002,-37.870986,327500.9623793854,5806686.42404167,"POLYGON ((327600.9623793854 5806586.42404167, 327600.9623793854 5806786.42404167, 327400.9623793854 5806786.42404167, 327400.9623793854 5806586.42404167, 327600.9623793854 5806586.42404167))","['1392', '1396']"
22,3845,145.05106,-37.860791,328557.0865236108,5807840.344302116,"POLYGON ((328657.0865236108 5807740.344302116, 328657.0865236108 5807940.344302116, 328457.0865236108 5807940.344302116, 328457.0865236108 5807740.344302116, 328657.0865236108 5807740.344302116))","['1352', '1390']"
23,3846,145.04908600000002,-37.871225,328407.6306545283,5806678.9009421095,"POLYGON ((328507.6306545283 5806578.90094211, 328507.6306545283 5806778.90094211, 328307.6306545283 5806778.90094211, 328307.6306545283 5806578.90094211, 328507.6306545283 5806578.90094211))","['301', '1396']"
24,5289,144.663921,-37.899493,294604.8012568265,5802763.423602343,"POLYGON ((294704.8012568265 5802663.423602343, 294704.8012568265 5802863.423602343, 294504.8012568265 5802863.423602343, 294504.8012568265 5802663.423602343, 294704.8012568265 5802663.423602343))","['2276', '2278', '2298']"
25,3964,144.940562,-37.687762,318412.9383352768,5826831.870896352,"POLYGON ((318512.9383352768 5826731.870896352, 318512.9383352768 5826931.870896352, 318312.9383352768 5826931.870896352, 318312.9383352768 5826731.870896352, 318512.9383352768 5826731.870896352))","['1616', '1633']"
26,2946,145.04211999999998,-37.750011,327512.99423010706,5820116.544948256,"POLYGON ((327612.9942301071 5820016.544948256, 327612.9942301071 5820216.544948256, 327412.9942301071 5820216.544948256, 327412.9942301071 5820016.544948256, 327612.9942301071 5820016.544948256))","['1383', '1426', '1427']"
27,2957,145.088739,-37.898581,331957.8342995059,5803715.531922992,"POLYGON ((332057.8342995059 5803615.531922992, 332057.8342995059 5803815.531922992, 331857.8342995059 5803815.531922992, 331857.8342995059 5803615.531922992, 332057.8342995059 5803615.531922992))","['460', '2100']"
28,3064,145.02178899999998,-37.747240999999995,325715.17777286266,5820386.230856087,"POLYGON ((325815.1777728627 5820286.230856087, 325815.1777728627 5820486.230856087, 325615.1777728627 5820486.230856087, 325615.1777728627 5820286.230856087, 325815.1777728627 5820286.230856087))","['1454', '1467']"
29,3110,144.94531899999998,-37.775275,319045.62653354544,5817130.194888853,"POLYGON ((319145.6265335454 5817030.194888853, 319145.6265335454 5817230.194888853, 318945.6265335454 5817230.194888853, 318945.6265335454 5817030.194888853, 319145.6265335454 5817030.194888853))","['904', '982']"
30,3111,144.948794,-37.775692,319352.71560914384,5817090.642971468,"POLYGON ((319452.7156091438 5816990.642971468, 319452.7156091438 5817190.642971468, 319252.7156091438 5817190.642971468, 319252.7156091438 5816990.642971468, 319452.7156091438 5816990.642971468))","['897', '904', '982']"
31,3194,145.13513600000002,-37.83692,335900.7689703857,5810640.305993054,"POLYGON ((336000.7689703857 5810540.305993054, 336000.7689703857 5810740.305993054, 335800.7689703857 5810740.305993054, 335800.7689703857 5810540.305993054, 336000.7689703857 5810540.305993054))","['1194', '1199']"
32,3203,145.11062900000002,-37.966321,334035.05473953474,5796237.945548638,"POLYGON ((334135.0547395347 5796137.945548638, 334135.0547395347 5796337.945548638, 333935.0547395347 5796337.945548638, 333935.0547395347 5796137.945548638, 334135.0547395347 5796137.945548638))","['1372', '1991']"
33,3250,144.727063,-37.578008000000004,299290.5018562162,5838575.62683342,"POLYGON ((299390.5018562162 5838475.62683342, 299390.5018562162 5838675.62683342, 299190.5018562162 5838675.62683342, 299190.5018562162 5838475.62683342, 299390.5018562162 5838475.62683342))",['1626']
34,3308,145.025038,-37.781876000000004,326082.6132304758,5816549.031934256,"POLYGON ((326182.6132304758 5816449.031934256, 326182.6132304758 5816649.031934256, 325982.6132304758 5816649.031934256, 325982.6132304758 5816449.031934256, 326182.6132304758 5816449.031934256))","['267', '785', '1093']"
35,3309,145.03226899999999,-37.780555,326716.36097690195,5816709.045315009,"POLYGON ((326816.360976902 5816609.045315009, 326816.360976902 5816809.045315009, 326616.360976902 5816809.045315009, 326616.360976902 5816609.045315009, 326816.360976902 5816609.045315009))","['579', '785', '1093']"
36,3310,145.039101,-37.775308,327305.8526329318,5817303.917624788,"POLYGON ((327405.8526329318 5817203.917624788, 327405.8526329318 5817403.917624788, 327205.8526329318 5817403.917624788, 327205.8526329318 5817203.917624788, 327405.8526329318 5817203.917624788))","['1439', '1440']"
37,3312,145.04673400000001,-37.771794,327970.0022964653,5817707.917746328,"POLYGON ((328070.0022964653 5817607.917746328, 328070.0022964653 5817807.917746328, 327870.0022964653 5817807.917746328, 327870.0022964653 5817607.917746328, 328070.0022964653 5817607.917746328))","['1444', '1445']"
38,3313,145.059665,-37.772859999999994,329111.4389722717,5817613.344227204,"POLYGON ((329211.4389722717 5817513.344227204, 329211.4389722717 5817713.344227204, 329011.4389722717 5817713.344227204, 329011.4389722717 5817513.344227204, 329211.4389722717 5817513.344227204))","['1428', '1447', '1448']"
39,2678,144.800539,-37.744164000000005,306212.2302719607,5820292.391513688,"POLYGON ((306312.2302719607 5820192.391513688, 306312.2302719607 5820392.391513688, 306112.2302719607 5820392.391513688, 306112.2302719607 5820192.391513688, 306312.2302719607 5820192.391513688))","['161', '646', '2131', '2133', '2134']"
40,3499,144.856317,-37.83207,311350.9821552852,5810651.760145447,"POLYGON ((311450.9821552852 5810551.760145447, 311450.9821552852 5810751.760145447, 311250.9821552852 5810751.760145447, 311250.9821552852 5810551.760145447, 311450.9821552852 5810551.760145447))","['169', '475']"
41,3500,144.849472,-37.819461,310716.31376640825,5812037.106336707,"POLYGON ((310816.3137664082 5811937.106336707, 310816.3137664082 5812137.106336707, 310616.3137664082 5812137.106336707, 310616.3137664082 5811937.106336707, 310816.3137664082 5811937.106336707))",['172']
42,3501,144.848252,-37.831225,310638.99953864387,5810729.201117206,"POLYGON ((310738.9995386439 5810629.201117206, 310738.9995386439 5810829.201117206, 310538.9995386439 5810829.201117206, 310538.9995386439 5810629.201117206, 310738.9995386439 5810629.201117206))","['475', '2091', '2177']"
43,3502,144.847016,-37.838485999999996,310548.79504487984,5809920.950969555,"POLYGON ((310648.7950448798 5809820.950969555, 310648.7950448798 5810020.950969555, 310448.7950448798 5810020.950969555, 310448.7950448798 5809820.950969555, 310648.7950448798 5809820.950969555))","['475', '2163', '2178']"
44,3503,144.846407,-37.842082,310504.4056288121,5809520.671602478,"POLYGON ((310604.4056288121 5809420.671602478, 310604.4056288121 5809620.671602478, 310404.4056288121 5809620.671602478, 310404.4056288121 5809420.671602478, 310604.4056288121 5809420.671602478))","['2163', '2178']"
45,3510,144.92484299999998,-37.767159,317222.13355689764,5817990.962984245,"POLYGON ((317322.1335568976 5817890.962984245, 317322.1335568976 5818090.962984245, 317122.1335568976 5818090.962984245, 317122.1335568976 5817890.962984245, 317322.1335568976 5817890.962984245))","['744', '952', '953', '954']"
46,3511,144.92368100000002,-37.764462,317113.12941109715,5818287.966189314,"POLYGON ((317213.1294110972 5818187.966189314, 317213.1294110972 5818387.966189314, 317013.1294110972 5818387.966189314, 317013.1294110972 5818187.966189314, 317213.1294110972 5818187.966189314))","['744', '952']"
47,3512,144.920941,-37.760028000000005,316860.819077117,5818774.626810156,"POLYGON ((316960.819077117 5818674.626810156, 316960.819077117 5818874.626810156, 316760.819077117 5818874.626810156, 316760.819077117 5818674.626810156, 316960.819077117 5818674.626810156))",['951']
48,3514,144.91778200000002,-37.755012,316570.12818885804,5819325.040943457,"POLYGON ((316670.128188858 5819225.040943457, 316670.128188858 5819425.040943457, 316470.128188858 5819425.040943457, 316470.128188858 5819225.040943457, 316670.128188858 5819225.040943457))",['940']
49,3515,144.91447,-37.750313,316266.7044340311,5819839.969082978,"POLYGON ((316366.7044340311 5819739.969082978, 316366.7044340311 5819939.969082978, 316166.7044340311 5819939.969082978, 316166.7044340311 5819739.969082978, 316366.7044340311 5819739.969082978))","['862', '877']"
50,3516,144.906609,-37.738597,315544.9898009273,5821124.575751957,"POLYGON ((315644.9898009273 5821024.575751957, 315644.9898009273 5821224.575751957, 315444.9898009273 5821224.575751957, 315444.9898009273 5821024.575751957, 315644.9898009273 5821024.575751957))","['935', '1588']"
51,3557,145.041649,-37.904153,327830.1733919583,5803011.305613722,"POLYGON ((327930.1733919583 5802911.305613722, 327930.1733919583 5803111.305613722, 327730.1733919583 5803111.305613722, 327730.1733919583 5802911.305613722, 327930.1733919583 5802911.305613722))","['1278', '1324']"
