Scatid,lon,lat
1039,144.964734,-37.804728
1036,144.967697,-37.805063
2901,144.97214,-37.809404
2902,144.969656,-37.810127
2903,144.967202,-37.810842
2904,144.964732,-37.811561
2905,144.963407,-37.811947
2906,144.962257,-37.812282
2911,144.969196,-37.809136
2912,144.966749,-37.809854
2913,144.964281,-37.810574
2914,144.961809,-37.811299
2918,144.970696,-37.807491
2919,144.968743,-37.808158
2920,144.966304,-37.808882
2921,144.963826,-37.809594
2922,144.961359,-37.810317
1037,144.9603,-37.804227
2935,144.965924,-37.811214
4388,144.959504,-37.806293
4389,144.962897,-37.806657
4390,144.96326,-37.804562
4391,144.963976,-37.800427
4396,144.966924,-37.800743
4397,144.969892,-37.801061
4398,144.961782,-37.804395
4399,144.966212,-37.804895
4400,144.969198,-37.805232
4402,144.961417,-37.806498
4403,144.964371,-37.806815
4404,144.965852,-37.806974
4405,144.968846,-37.807294
4406,144.973157,-37.808115
4413,144.966522,-37.803097
4416,144.969719,-37.802124
4419,144.97362,-37.805382
4420,144.974474,-37.800341
4421,144.977657,-37.782645
4426,144.977205,-37.78515
4427,144.975312,-37.79543
4428,144.974076,-37.802697
4444,144.972971,-37.809245
4445,144.975651,-37.809538
4450,144.974833,-37.81179
4503,144.950731,-37.805292
4504,144.952203,-37.805458
4505,144.953686,-37.805626
4506,144.955988,-37.805879
4508,144.957835,-37.806081
4509,144.958009,-37.808867
4510,144.959884,-37.807113
4511,144.960376,-37.808182
4512,144.960867,-37.80925
4523,144.962838,-37.807465
4556,144.958399,-37.809964
4560,144.972382,-37.81601
4562,144.967438,-37.817453
4568,144.971924,-37.815022
4569,144.969454,-37.815757
4570,144.966989,-37.816485
4571,144.964521,-37.817198
4573,144.95956,-37.81862
4575,144.973953,-37.813316
4576,144.971473,-37.814047
4577,144.969002,-37.81477
4578,144.96654,-37.815493
4580,144.964068,-37.816218
4581,144.961582,-37.816932
4583,144.959111,-37.817643
4584,144.956629,-37.818357
4585,144.954149,-37.81907
4586,144.971014,-37.813058
4587,144.96855,-37.813784
4588,144.966087,-37.814511
4589,144.963611,-37.815227
4590,144.961131,-37.815944
4591,144.958657,-37.816657
4593,144.973046,-37.81136
4594,144.970564,-37.812087
4595,144.968103,-37.812808
4596,144.965634,-37.813531
4597,144.963159,-37.814248
4598,144.96171,-37.814668
4599,144.960684,-37.814965
4600,144.958207,-37.815681
4601,144.955727,-37.816385
4602,144.95324,-37.817092
4603,144.970108,-37.811104
4604,144.967652,-37.811823
4605,144.965182,-37.812545
