,900,1800,2700,3600,4500,5400,6300,7200,8100,9000,9900,MeanOD,Estimated,O,D
"(1036, 4399)",7,6,6,8,7,7,8,9,8,7,8,7.363636363636363,8.61,1036,4399
"(1036, 4400)",9,10,4,3,3,3,4,4,5,7,7,5.363636363636363,5.47,1036,4400
"(1036, 2902)",2,2,2,3,3,3,2,3,3,3,2,2.5454545454545454,2.63,1036,2902
"(1036, 2903)",1,0,2,2,2,2,2,2,1,2,2,1.6363636363636365,1.46,1036,2903
"(1036, 2912)",2,1,2,2,2,2,2,1,2,2,2,1.8181818181818181,1.43,1036,2912
"(1036, 2935)",0,0,1,1,2,2,2,2,2,2,2,1.4545454545454546,1.06,1036,2935
"(1036, 2904)",2,2,2,2,3,3,3,3,3,3,2,2.5454545454545454,1.89,1036,2904
"(1036, 2905)",4,3,4,4,5,5,4,5,5,3,4,4.181818181818182,2.85,1036,2905
"(1036, 2913)",1,0,0,1,1,2,2,2,2,2,2,1.3636363636363635,0.91,1036,2913
"(1036, 2911)",11,10,12,11,11,11,11,10,11,11,10,10.818181818181818,13.31,1036,2911
"(1036, 2920)",2,1,2,2,2,2,2,2,1,2,2,1.8181818181818181,3.92,1036,2920
"(1036, 2914)",3,2,4,3,3,3,2,3,3,3,3,2.909090909090909,1.36,1036,2914
"(1036, 2922)",3,2,3,3,3,4,4,3,4,3,3,3.1818181818181817,2.69,1036,2922
"(1036, 2918)",23,22,20,20,20,20,20,20,20,22,21,20.727272727272727,7.38,1036,2918
"(1036, 2919)",11,10,11,12,11,11,10,11,11,11,10,10.818181818181818,18.2,1036,2919
"(1036, 4405)",7,7,7,7,6,7,5,6,7,7,7,6.636363636363637,6.8,1036,4405
"(1036, 2921)",2,1,2,2,2,2,2,3,1,2,2,1.9090909090909092,1.55,1036,2921
"(1036, 4404)",3,2,2,3,2,3,3,3,3,2,2,2.5454545454545454,3.4,1036,4404
"(1036, 4523)",0,0,0,0,0,0,0,0,0,0,0,0.0,2.51,1036,4523
"(1036, 4389)",12,11,12,13,12,12,11,11,12,11,12,11.727272727272727,10.39,1036,4389
"(1036, 4403)",4,3,5,4,3,4,4,4,3,4,4,3.8181818181818183,3.94,1036,4403
"(1036, 4413)",15,15,12,14,13,14,13,15,15,14,14,14.0,15.53,1036,4413
"(4399, 1036)",41,39,28,27,27,31,32,34,36,35,35,33.18181818181818,33.38,4399,1036
"(4399, 4400)",18,18,10,9,10,10,11,12,13,14,16,12.818181818181818,13.13,4399,4400
"(4399, 2902)",2,2,2,2,3,3,3,3,3,2,2,2.4545454545454546,2.15,4399,2902
"(4399, 2903)",0,0,0,1,2,2,2,2,2,1,0,1.0909090909090908,0.93,4399,2903
"(4399, 2912)",0,0,0,0,1,0,0,0,0,0,0,0.09090909090909091,0.78,4399,2912
"(4399, 2935)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.69,4399,2935
"(4399, 2904)",2,2,2,2,2,2,2,2,1,2,2,1.9090909090909092,1.49,4399,2904
"(4399, 2905)",3,3,3,5,4,3,4,4,4,3,4,3.6363636363636362,2.47,4399,2905
